"","median","lci","uci","Geweke.p","Heidelberger.p"
"r.Lamberts.Bay",-0.0124,-0.1546,0.1443,0.767,0.886
"r.Malgas.Island",0.0099,-0.1398,0.1638,0.469,0.447
"r.Marcus.Island",-0.0818,-0.2367,0.0641,0.584,0.426
"r.Jutten.Island",0.0397,-0.1147,0.1875,0.595,0.255
"r.Vondeling.Island",0.0828,-0.0674,0.2358,0.257,0.375
"r.Dassen.Island",0.0885,-0.0554,0.2465,0.117,0.073
"r.Robben.Island",0.3352,0.1824,0.489,0.568,0.62
"r.Simonstown",0.3351,0.1844,0.4826,0.486,0.302
"r.Seal.Island.False.Bay",0.1113,-0.0535,0.2657,0.451,0.81
"r.Stony.Point",0.3421,0.2011,0.5012,0.636,0.128
"r.Dyer.Island",0.0553,-0.0917,0.2109,0.155,0.051
"r.Geyser.Island",-0.0531,-0.2019,0.0998,0.798,0.469
"r.De.Hoop",0.2109,0.0617,0.3628,0.399,0.309
"r.Jahleel.Island",0.0553,-0.0984,0.1999,0.385,0.447
"r.Brenton.Island",-0.0065,-0.1555,0.1504,0.898,0.665
"r.St.Croix.Island",0.0626,-0.0912,0.2091,0.353,0.478
"r.Seal.Island.Algoa.Bay",0.1358,-0.0108,0.2925,0.039,0.206
"r.Stag.Island",0.0058,-0.1492,0.1564,0.332,0.524
"r.Bird.Island",0.1663,0.012,0.3126,0.91,0.094
"r.Mercury",-0.0912,-0.237,0.0633,0.822,0.698
"r.Ichaboe",0.0019,-0.1513,0.1475,0.201,0.086
"r.Halifax",0.115,-0.0338,0.2675,0.062,0.32
"r.Possession",0.1154,-0.0341,0.2689,0.67,0.563
"r.Pomona",0.0075,-0.1428,0.1583,0.188,0.665
"r.Plumpudding",0.147,0.0022,0.3041,0.166,0.549
"r.Sinclair",0.0903,-0.0669,0.2342,0.642,0.279
"sigma.proc",0.5099,0.4774,0.5371,0.889,0.667
